ab1,ab2,ab3,ab4,ab5,ab6,ab7,ab8,ab9,ab10,ab11,ab12
21,31,25,11,0,0,0,8,0,0,0,10
10,15,9,1,0,0,0,3,0.5,2,0.5,4
28,42,26,0,16,0,0,20,15,0,0,15
25,20,30,.5,.5,0,0,11,13,.5,.25,14
33,34,29,0,0,0,6,7,13,0,0,0   
34,30,28,10,0,0,0,0,13,0,7,10
