ab1,ab2,ab3,ab4,ab5,ab6,ab7,ab8,ab9,ab10,ab11,ab12
18,30,24,0,0,0,0,0,13,0,11,0
21,13,10,1,1,0,0,2,3,0,0,1
26,33,31,12,1,0,0,2,15,0,0,12
20,30,15,0,10,0,0,0,15,0,0,9
24,30,20,0,0,0,0,0,13,0,0,7
23,30,21,10.5,0,0,0,0,11,0,0,9

